Tanggal,curah_hujan
07-02-2014,0.0
08-02-2014,0.0
09-02-2014,13.2
10-02-2014,11.5
11-02-2014,4.8
12-02-2014,2.7
13-02-2014,0.0
14-02-2014,4.0
15-02-2014,0.0
16-02-2014,2.4
17-02-2014,0.0
18-02-2014,1.0
19-02-2014,0.0
20-02-2014,15.7
21-02-2014,6.3
22-02-2014,3.8
23-02-2014,0.0
24-02-2014,15.0
25-02-2014,0.0
26-02-2014,5.1
27-02-2014,0.0
28-02-2014,0.0
01-03-2014,0.0
02-03-2014,0.0
03-03-2014,4.7
04-03-2014,1.6
05-03-2014,0.0
06-03-2014,28.5
07-03-2014,1.9
08-03-2014,0.0
09-03-2014,0.0
10-03-2014,0.0
11-03-2014,0.0
12-03-2014,0.0
13-03-2014,0.0
14-03-2014,2.8
15-03-2014,1.1
16-03-2014,4.0
17-03-2014,1.5
18-03-2014,0.0
19-03-2014,0.0
20-03-2014,3.5
21-03-2014,12.6
22-03-2014,0.0
23-03-2014,10.8
24-03-2014,16.4
25-03-2014,0.6
26-03-2014,9.6
27-03-2014,0.0
28-03-2014,0.0
29-03-2014,0.5
30-03-2014,0.1
31-03-2014,14.8
01-04-2014,3.3
02-04-2014,4.2
03-04-2014,0.5
04-04-2014,2.0
05-04-2014,32.4
06-04-2014,9.8
07-04-2014,25.2
08-04-2014,1.0
09-04-2014,23.4
10-04-2014,0.0
11-04-2014,0.0
12-04-2014,9.3
13-04-2014,5.3
14-04-2014,0.0
15-04-2014,13.2
16-04-2014,8.6
17-04-2014,5.7
18-04-2014,0.0
19-04-2014,1.5
20-04-2014,0.6
21-04-2014,0.0
22-04-2014,36.0
23-04-2014,1.8
24-04-2014,9.2
25-04-2014,5.9
26-04-2014,5.0
27-04-2014,0.0
28-04-2014,0.0
29-04-2014,0.0
30-04-2014,7.0
01-05-2014,0.0
02-05-2014,0.0
03-05-2014,21.5
04-05-2014,0.0
05-05-2014,0.0
06-05-2014,0.0
07-05-2014,0.0
08-05-2014,1.0
09-05-2014,0.0
10-05-2014,4.0
11-05-2014,0.0
12-05-2014,9.5
13-05-2014,5.0
14-05-2014,0.0
15-05-2014,8.4
16-05-2014,11.7
17-05-2014,11.0
18-05-2014,2.3
19-05-2014,15.5
20-05-2014,8.1
21-05-2014,2.9
22-05-2014,10.9
23-05-2014,0.0
24-05-2014,0.0
25-05-2014,4.7
26-05-2014,0.0
27-05-2014,0.9
28-05-2014,23.6
29-05-2014,9.0
30-05-2014,1.5
31-05-2014,0.0
01-06-2014,6.5
02-06-2014,9.5
03-06-2014,4.2
04-06-2014,0.0
05-06-2014,0.0
06-06-2014,0.4
07-06-2014,3.4
08-06-2014,8.3
09-06-2014,14.3
10-06-2014,0.0
11-06-2014,26.9
12-06-2014,12.1
